NO_OF_FRAMES	22245
NO_OF_CAMERAS	4
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-01-22, 17:47:17	22107.99179716
DATA_INCLUDED	6D
BODY_NAMES	PSVH
Frame	Time	PSVH X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	-194.91974	2.24150	0.99661	-0.65630	0.09391	0.05772	4.98536	1.00000	0.00099	-0.00165	-0.00101	0.99993	-0.01145	0.00164	0.01145	0.99993	
2	0.01000	-195.64748	1.62077	0.72224	-0.78772	0.05832	0.12055	4.77517	1.00000	0.00209	-0.00105	-0.00210	0.99990	-0.01375	0.00102	0.01375	0.99990	
3	0.02000	-194.95781	2.21758	0.98296	-0.66356	0.09491	0.05952	4.99253	1.00000	0.00102	-0.00167	-0.00104	0.99993	-0.01158	0.00166	0.01158	0.99993	
4	0.03000	-198.62386	1.71179	0.03494	-0.53532	-0.03859	0.16124	3.84745	1.00000	0.00282	0.00065	-0.00281	0.99995	-0.00934	-0.00067	0.00934	0.99996	
5	0.04000	-198.67555	1.70286	0.01716	-0.53206	-0.03739	0.15727	3.80340	1.00000	0.00275	0.00063	-0.00274	0.99995	-0.00929	-0.00065	0.00929	0.99996	
6	0.05000	-198.69584	1.71115	0.00847	-0.52833	-0.03714	0.15618	3.76336	1.00000	0.00273	0.00062	-0.00273	0.99995	-0.00922	-0.00065	0.00922	0.99996	
7	0.06000	-198.68467	1.70096	0.01378	-0.53137	-0.03803	0.15637	3.77396	1.00000	0.00274	0.00064	-0.00273	0.99995	-0.00928	-0.00066	0.00927	0.99996	
8	0.07000	-198.19153	1.26074	-0.08500	-0.57423	-0.02440	0.15792	3.76900	1.00000	0.00276	0.00040	-0.00276	0.99995	-0.01002	-0.00043	0.01002	0.99995	
9	0.08000	-198.59231	1.59925	0.18563	-0.51766	-0.04295	0.15180	3.74876	1.00000	0.00266	0.00073	-0.00265	0.99996	-0.00904	-0.00075	0.00903	0.99996	
10	0.09000	-198.57417	1.59393	0.20008	-0.51479	-0.04516	0.15093	3.75718	1.00000	0.00264	0.00076	-0.00263	0.99996	-0.00899	-0.00079	0.00898	0.99996	
11	0.10000	-198.57180	1.58509	0.20733	-0.51264	-0.04600	0.15140	3.76705	1.00000	0.00265	0.00078	-0.00264	0.99996	-0.00895	-0.00080	0.00895	0.99996	
12	0.11000	-198.57018	1.57042	0.20660	-0.51179	-0.04699	0.14958	3.75050	1.00000	0.00262	0.00080	-0.00261	0.99996	-0.00893	-0.00082	0.00893	0.99996	
13	0.12000	-200.56479	1.49456	-0.51593	-0.31778	-0.00370	0.02492	3.01500	1.00000	0.00044	0.00006	-0.00043	0.99998	-0.00555	-0.00006	0.00555	0.99998	
14	0.13000	-200.56943	1.48767	-0.50686	-0.31347	-0.00483	0.02429	3.01846	1.00000	0.00042	0.00008	-0.00042	0.99998	-0.00547	-0.00008	0.00547	0.99998	
